Age,Gender,Academic_Year,Field_of_Study,Binge_Scroll_Platform,Daily_Hours_Spent,Peak_Usage_Time,Use_Before_Sleep,Lose_Track_of_Time,Q13_Continuous_Scroll,Q14_Scroll_Until_Bored,Q15_Scroll_No_Purpose,Q16_Scroll_When_Alone,Q17_Physically_Uncomfortable,Q18_Feel_Guilty,Q19_Feel_Depressed,Q20_Mad_At_Self,Q21_Struggle_To_Control,Q22_Thinking_About_Scrolling,Q23_Scroll_More_Than_Planned,Q24_Cannot_Stop_Self,Q25_Procrastinate_Academic_Work,Q26_Reduces_Study_Efficiency,Q27_Lose_Study_Concentration,Q28_Anxious_Without_Social_Media,Binge_Index,Academic_Impact_Index,Cluster,Persona
21–23,Male,3rd Year,Science,YouTube Shorts,3–4 hours,Late night,Yes,Yes,4,4,3,4,4,5,4,4,3,5,3,4,4,4,3,5,3.9166666666666665,4.0,0,At-Risk
21–23,female,3rd Year,Engineering,Instagram,2–3 hours,Evening,Yes,Yes,4,3,3,4,5,5,4,5,5,4,5,5,4,5,3,5,4.333333333333333,4.25,0,At-Risk
21–23,Male,3rd Year,Engineering,Instagram,2–3 hours,Late night,Yes,Yes,3,3,4,3,4,4,3,2,4,4,4,4,4,5,4,4,3.5,4.25,0,At-Risk
21–23,Male,3rd Year,Engineering,Instagram,2–3 hours,Late night,Yes,No,4,4,5,4,5,5,4,5,3,5,3,5,4,3,5,3,4.333333333333333,3.75,0,At-Risk
21–23,Male,2nd Year,Engineering,Facebook,1–2 hours,Late night,Yes,Yes,4,4,5,4,3,4,4,5,4,4,5,3,5,4,5,5,4.083333333333333,4.75,0,At-Risk
21–23,Male,2nd Year,Computer Science / IT,Instagram,2–3 hours,Late night,Yes,Yes,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4,3.75,3.75,0,At-Risk
21–23,female,3rd Year,Computer Science / IT,Facebook,3–4 hours,Late night,Yes,No,4,5,4,4,4,3,1,3,4,1,4,5,5,5,4,4,3.5,4.5,1,Moderate
21–23,Male,3rd Year,Engineering,Instagram,3–4 hours,Late night,Yes,Yes,2,4,3,5,2,2,3,4,4,1,3,4,4,4,4,3,3.083333333333333,3.75,1,Moderate
24–26,female,3rd Year,Business / Management,Instagram,2–3 hours,Late night,Yes,Yes,4,4,4,4,4,5,3,4,1,3,1,4,4,3,1,5,3.4166666666666665,3.25,1,Moderate
24–26,female,3rd Year,Business / Management,Instagram,2–3 hours,Afternoon,Yes,Yes,3,4,3,3,2,4,4,4,3,5,3,3,3,3,4,3,3.4166666666666665,3.25,1,Moderate
